effect,group,term,estimate,std.error,statistic
fixed,NA,(Intercept),4.724060274048218,0.1044324345576228,45.23556588582274
fixed,NA,cat,1.184069281745052,0.3161504122877921,3.7452719835999844
ran_pars,subj_id,sd__(Intercept),0.3933727831399016,NA,NA
ran_pars,subj_id,sd__cat,0.4893493781262105,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.37033464629052854,NA,NA
ran_pars,item_id,sd__(Intercept),0.24702468058186725,NA,NA
ran_pars,Residual,sd__Observation,0.9635527475559086,NA,NA
fixed,NA,(Intercept),4.712226418855718,0.11364506238114207,41.46441842806935
fixed,NA,cat,0.5401551436807281,0.2415542036156824,2.236165364110682
ran_pars,subj_id,sd__(Intercept),0.5355950413131618,NA,NA
ran_pars,subj_id,sd__cat,0.3754326481082627,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.999992035241306,NA,NA
ran_pars,item_id,sd__(Intercept),0.15170255790222528,NA,NA
ran_pars,Residual,sd__Observation,0.9586935605522068,NA,NA
fixed,NA,(Intercept),4.63566308002217,0.1057490185864473,43.83646431888752
fixed,NA,cat,0.7280344754663943,0.232077960336981,3.1370254823391086
ran_pars,subj_id,sd__(Intercept),0.4905532332496485,NA,NA
ran_pars,subj_id,sd__cat,0.31355161822848154,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,1,NA,NA
ran_pars,item_id,sd__(Intercept),0.12970036982691455,NA,NA
ran_pars,Residual,sd__Observation,1.0063921675640897,NA,NA
fixed,NA,(Intercept),4.357929589813171,0.11116326745603133,39.20296415843366
fixed,NA,cat,0.6568357396419774,0.1792751410646565,3.6638417113563237
ran_pars,subj_id,sd__(Intercept),0.5592410262160078,NA,NA
ran_pars,subj_id,sd__cat,0.1915857965564667,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-1,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA
ran_pars,Residual,sd__Observation,0.9630587566033543,NA,NA
fixed,NA,(Intercept),4.752248001658597,0.10884590017342702,43.66033074361749
fixed,NA,cat,0.7105915746037598,0.2468675778536583,2.878432156955801
ran_pars,subj_id,sd__(Intercept),0.496407652557416,NA,NA
ran_pars,subj_id,sd__cat,0.2902939157999565,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,1,NA,NA
ran_pars,item_id,sd__(Intercept),0.15107664162755877,NA,NA
ran_pars,Residual,sd__Observation,1.0292292858958272,NA,NA
fixed,NA,(Intercept),4.546013515874073,0.11600252624744613,39.18891823249544
fixed,NA,cat,0.5125135139357442,0.3425687468780523,1.49608952540609
ran_pars,subj_id,sd__(Intercept),0.4413927780817091,NA,NA
ran_pars,subj_id,sd__cat,0.4227060643426713,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.36440870195822517,NA,NA
ran_pars,item_id,sd__(Intercept),0.2766169853357322,NA,NA
ran_pars,Residual,sd__Observation,1.0229424597742869,NA,NA
fixed,NA,(Intercept),4.574286416827443,0.09798291145984057,46.6845325238398
fixed,NA,cat,0.6438593083473478,0.22281929283604596,2.889603050760555
ran_pars,subj_id,sd__(Intercept),0.45114600998942506,NA,NA
ran_pars,subj_id,sd__cat,0.37103129889295244,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.47888659994545363,NA,NA
ran_pars,item_id,sd__(Intercept),0.10851987239834798,NA,NA
ran_pars,Residual,sd__Observation,0.9992457214718826,NA,NA
fixed,NA,(Intercept),4.4565019602441085,0.11672303243484243,38.1801420617806
fixed,NA,cat,1.1158392325831814,0.3409170587640023,3.273051916582485
ran_pars,subj_id,sd__(Intercept),0.45267852246032175,NA,NA
ran_pars,subj_id,sd__cat,0.475153574606948,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.17969644033236892,NA,NA
ran_pars,item_id,sd__(Intercept),0.27421752114243153,NA,NA
ran_pars,Residual,sd__Observation,1.0025491719522621,NA,NA
fixed,NA,(Intercept),4.386365810366745,0.117251581406212,37.40986482024843
fixed,NA,cat,0.247814464074572,0.30161570054343045,0.8216232232873717
ran_pars,subj_id,sd__(Intercept),0.529273146980715,NA,NA
ran_pars,subj_id,sd__cat,0.7824537979864419,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.04649364254448387,NA,NA
ran_pars,item_id,sd__(Intercept),0.186231461798043,NA,NA
ran_pars,Residual,sd__Observation,1.0375269912357172,NA,NA
fixed,NA,(Intercept),4.669173525404993,0.08687846269622548,53.743740168734014
fixed,NA,cat,0.47848358187660395,0.20592865681828837,2.3235405371425224
ran_pars,subj_id,sd__(Intercept),0.3833245582863616,NA,NA
ran_pars,subj_id,sd__cat,0.015017593547104455,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.9999990930783376,NA,NA
ran_pars,item_id,sd__(Intercept),0.10243946953549729,NA,NA
ran_pars,Residual,sd__Observation,0.9783442519339314,NA,NA
fixed,NA,(Intercept),4.445479987006055,0.11061276393033409,40.18957513624647
fixed,NA,cat,0.951367014668887,0.2293194877217948,4.148653148148769
ran_pars,subj_id,sd__(Intercept),0.5234956976875865,NA,NA
ran_pars,subj_id,sd__cat,0.29916325001647115,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.849234325965483,NA,NA
ran_pars,item_id,sd__(Intercept),0.12847499829147502,NA,NA
ran_pars,Residual,sd__Observation,0.9964684730232762,NA,NA
fixed,NA,(Intercept),4.367291599149251,0.09920445613437813,44.02313937625447
fixed,NA,cat,0.4760330280275411,0.24742702937531375,1.9239330045282264
ran_pars,subj_id,sd__(Intercept),0.4519532147792919,NA,NA
ran_pars,subj_id,sd__cat,0.6171383989298017,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.23549771527186825,NA,NA
ran_pars,item_id,sd__(Intercept),0.13873677688949299,NA,NA
ran_pars,Residual,sd__Observation,0.9371805827483748,NA,NA
fixed,NA,(Intercept),4.510332857900769,0.11896397735710992,37.91343361328199
fixed,NA,cat,0.5658887436322909,0.35614375808981735,1.5889334876102956
ran_pars,subj_id,sd__(Intercept),0.44175280176515935,NA,NA
ran_pars,subj_id,sd__cat,0.3664894303100987,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.5738570089943701,NA,NA
ran_pars,item_id,sd__(Intercept),0.30250356262099903,NA,NA
ran_pars,Residual,sd__Observation,0.9620730888603173,NA,NA
fixed,NA,(Intercept),4.566844922174559,0.10972036050197205,41.62258400611504
fixed,NA,cat,0.8191911931428376,0.2668461452188075,3.0699007942240284
ran_pars,subj_id,sd__(Intercept),0.48798899757826564,NA,NA
ran_pars,subj_id,sd__cat,0.40967125905470025,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.42036507159058645,NA,NA
ran_pars,item_id,sd__(Intercept),0.1713147016303406,NA,NA
ran_pars,Residual,sd__Observation,1.0430309708766394,NA,NA
fixed,NA,(Intercept),4.472944431057362,0.12336223127934318,36.25862133547798
fixed,NA,cat,0.93437596006498,0.20753048408627037,4.502355228336287
ran_pars,subj_id,sd__(Intercept),0.6192083105872705,NA,NA
ran_pars,subj_id,sd__cat,0.34930604657414066,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.3099759702667179,NA,NA
ran_pars,item_id,sd__(Intercept),0.09602427855631855,NA,NA
ran_pars,Residual,sd__Observation,0.9452155724549579,NA,NA
fixed,NA,(Intercept),4.694934316667543,0.09766131798613732,48.073632564880725
fixed,NA,cat,0.8325338937292031,0.2306187290432598,3.6100012222902986
ran_pars,subj_id,sd__(Intercept),0.43199654742440163,NA,NA
ran_pars,subj_id,sd__cat,0.058089263832190687,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.9999926833081296,NA,NA
ran_pars,item_id,sd__(Intercept),0.14452230397632226,NA,NA
ran_pars,Residual,sd__Observation,0.9826366025110973,NA,NA
fixed,NA,(Intercept),4.504625289139213,0.10135097582280832,44.445800867419756
fixed,NA,cat,0.4914316824731702,0.25369672073579524,1.9370833057986463
ran_pars,subj_id,sd__(Intercept),0.439590570079798,NA,NA
ran_pars,subj_id,sd__cat,0.30352750797771977,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.663532890912663,NA,NA
ran_pars,item_id,sd__(Intercept),0.16329347123230015,NA,NA
ran_pars,Residual,sd__Observation,1.0192100386333025,NA,NA
fixed,NA,(Intercept),4.48738116629462,0.10170546910044496,44.12133591225909
fixed,NA,cat,0.4148493111163613,0.21912836197890267,1.8931794468317265
ran_pars,subj_id,sd__(Intercept),0.4693535051729749,NA,NA
ran_pars,subj_id,sd__cat,0.008910792628644316,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.9999916760546896,NA,NA
ran_pars,item_id,sd__(Intercept),0.09955161597442852,NA,NA
ran_pars,Residual,sd__Observation,1.0691688553207275,NA,NA
fixed,NA,(Intercept),4.37246785899236,0.12214706097727511,35.79675044171417
fixed,NA,cat,0.46507325134449273,0.2890329210214403,1.609066710120519
ran_pars,subj_id,sd__(Intercept),0.5406659830392831,NA,NA
ran_pars,subj_id,sd__cat,0.14751950343459355,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.9999999255405184,NA,NA
ran_pars,item_id,sd__(Intercept),0.22603888766301047,NA,NA
ran_pars,Residual,sd__Observation,0.9755160260365052,NA,NA
fixed,NA,(Intercept),4.498145468182788,0.10208809552793614,44.06141034291194
fixed,NA,cat,0.37955580515837417,0.18130052834131521,2.0935173693692986
ran_pars,subj_id,sd__(Intercept),0.5021830224976095,NA,NA
ran_pars,subj_id,sd__cat,0.13620211955936004,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.9999877467223803,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA
ran_pars,Residual,sd__Observation,0.9836388717068574,NA,NA
fixed,NA,(Intercept),4.5791854594029715,0.10180524269547565,44.97985897544033
fixed,NA,cat,0.4664877849278621,0.26800335320582036,1.7406042847889678
ran_pars,subj_id,sd__(Intercept),0.42395096275807737,NA,NA
ran_pars,subj_id,sd__cat,0.23591746380092113,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.9999996639347736,NA,NA
ran_pars,item_id,sd__(Intercept),0.19034946445027,NA,NA
ran_pars,Residual,sd__Observation,1.006046376498376,NA,NA
fixed,NA,(Intercept),4.469070457964684,0.11266135072057282,39.668177501697556
fixed,NA,cat,-0.01594741312062326,0.2833994730664462,-0.05627185170130577
ran_pars,subj_id,sd__(Intercept),0.48037147524104074,NA,NA
ran_pars,subj_id,sd__cat,0.09553812571919909,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,1,NA,NA
ran_pars,item_id,sd__(Intercept),0.2147988095991255,NA,NA
ran_pars,Residual,sd__Observation,1.008054784428006,NA,NA
fixed,NA,(Intercept),4.506723659511879,0.11445690450655875,39.37485186185189
fixed,NA,cat,0.37725289226717645,0.28253318074805783,1.3352516375893657
ran_pars,subj_id,sd__(Intercept),0.493300889278224,NA,NA
ran_pars,subj_id,sd__cat,0.009919157431833941,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.9727836126421607,NA,NA
ran_pars,item_id,sd__(Intercept),0.21930556172639037,NA,NA
ran_pars,Residual,sd__Observation,0.9756042614197855,NA,NA
fixed,NA,(Intercept),4.568124842000994,0.10177564342759216,44.88426393738269
fixed,NA,cat,0.4426122053712245,0.2554494539200801,1.7326801783248285
ran_pars,subj_id,sd__(Intercept),0.45272599098293254,NA,NA
ran_pars,subj_id,sd__cat,0.5148113306615058,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.017383274480734328,NA,NA
ran_pars,item_id,sd__(Intercept),0.14439761452047933,NA,NA
ran_pars,Residual,sd__Observation,1.032996547278061,NA,NA
fixed,NA,(Intercept),4.426549622051934,0.08625023676221838,51.32217357565526
fixed,NA,cat,0.5880842976665406,0.20648187973363022,2.8481157689245786
ran_pars,subj_id,sd__(Intercept),0.4021468881319381,NA,NA
ran_pars,subj_id,sd__cat,0.5439000918906292,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.08584942823195076,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA
ran_pars,Residual,sd__Observation,0.9915723321025878,NA,NA
fixed,NA,(Intercept),4.435982158774411,0.09609140476406376,46.1641930375169
fixed,NA,cat,0.5501869856544257,0.25121700735089,2.1900865369594436
ran_pars,subj_id,sd__(Intercept),0.40344984372470577,NA,NA
ran_pars,subj_id,sd__cat,0.25600799307640193,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.999997721699358,NA,NA
ran_pars,item_id,sd__(Intercept),0.16394813359680746,NA,NA
ran_pars,Residual,sd__Observation,1.0106382813127561,NA,NA
fixed,NA,(Intercept),4.722112146629385,0.12465565667887117,37.8812504176537
fixed,NA,cat,0.7396939318582808,0.24399598191653787,3.0315824303668375
ran_pars,subj_id,sd__(Intercept),0.5976216965761842,NA,NA
ran_pars,subj_id,sd__cat,0.20423646848808516,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.999999232641291,NA,NA
ran_pars,item_id,sd__(Intercept),0.15815753257273912,NA,NA
ran_pars,Residual,sd__Observation,0.9969425697586957,NA,NA
fixed,NA,(Intercept),4.553437240686625,0.11406649011840996,39.919149225682325
fixed,NA,cat,0.3511577306472282,0.34932395278363415,1.0052495050768244
ran_pars,subj_id,sd__(Intercept),0.4259434477384774,NA,NA
ran_pars,subj_id,sd__cat,0.5641835249144984,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.20524929616306317,NA,NA
ran_pars,item_id,sd__(Intercept),0.27751038049805393,NA,NA
ran_pars,Residual,sd__Observation,1.0159494728288936,NA,NA
fixed,NA,(Intercept),4.476007067802386,0.0905948522611702,49.40685873518273
fixed,NA,cat,0.648377977368183,0.2373844599468784,2.731341291309786
ran_pars,subj_id,sd__(Intercept),0.3908512559678728,NA,NA
ran_pars,subj_id,sd__cat,0.44182761390341235,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.4682722137573577,NA,NA
ran_pars,item_id,sd__(Intercept),0.11475378323799093,NA,NA
ran_pars,Residual,sd__Observation,1.0489408426110576,NA,NA
fixed,NA,(Intercept),4.4493516219163265,0.10500690858040312,42.37198944400393
fixed,NA,cat,0.1384753356748908,0.2552685840522844,0.5424691651305125
ran_pars,subj_id,sd__(Intercept),0.47113039487447667,NA,NA
ran_pars,subj_id,sd__cat,0.4621543853527003,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.3186148432035642,NA,NA
ran_pars,item_id,sd__(Intercept),0.16335665074901157,NA,NA
ran_pars,Residual,sd__Observation,0.9699035848490225,NA,NA
fixed,NA,(Intercept),4.346210470917825,0.12562875634730086,34.59566581159747
fixed,NA,cat,0.17564692134597717,0.27248778082744823,0.6446047628726694
ran_pars,subj_id,sd__(Intercept),0.5988032026754794,NA,NA
ran_pars,subj_id,sd__cat,0.6236117440372906,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.24603060697295354,NA,NA
ran_pars,item_id,sd__(Intercept),0.15185114136619912,NA,NA
ran_pars,Residual,sd__Observation,1.0709029086150967,NA,NA
fixed,NA,(Intercept),4.561562478637678,0.08549762840006596,53.353087845816304
fixed,NA,cat,0.7058466635616891,0.24010289517814626,2.9397673986312434
ran_pars,subj_id,sd__(Intercept),0.33481062707144726,NA,NA
ran_pars,subj_id,sd__cat,0.11969612529354658,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.9999998933835197,NA,NA
ran_pars,item_id,sd__(Intercept),0.15796349282984873,NA,NA
ran_pars,Residual,sd__Observation,0.9831484596780796,NA,NA
fixed,NA,(Intercept),4.53525994951737,0.10960007978253594,41.38007890611075
fixed,NA,cat,0.5152191306126195,0.29619325936606533,1.7394694656972596
ran_pars,subj_id,sd__(Intercept),0.48380975775157475,NA,NA
ran_pars,subj_id,sd__cat,0.781804527707968,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.16634720033270597,NA,NA
ran_pars,item_id,sd__(Intercept),0.1791174602324357,NA,NA
ran_pars,Residual,sd__Observation,1.028690016705021,NA,NA
fixed,NA,(Intercept),4.52371063411192,0.09589859472874313,47.171813590257486
fixed,NA,cat,0.42400237273965935,0.2191379828722658,1.9348648152283476
ran_pars,subj_id,sd__(Intercept),0.43474718314637645,NA,NA
ran_pars,subj_id,sd__cat,0.22446837666852815,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.09435194890411193,NA,NA
ran_pars,item_id,sd__(Intercept),0.10836992269638408,NA,NA
ran_pars,Residual,sd__Observation,1.0187916419165157,NA,NA
fixed,NA,(Intercept),4.397911663112784,0.11778983046907694,37.33693855911743
fixed,NA,cat,0.6541740243275559,0.1792742999955533,3.6490117342183566
ran_pars,subj_id,sd__(Intercept),0.5970971336893484,NA,NA
ran_pars,subj_id,sd__cat,0.09404697974527601,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.9998915949825081,NA,NA
ran_pars,item_id,sd__(Intercept),1.261014633695793e-4,NA,NA
ran_pars,Residual,sd__Observation,0.9774113400816921,NA,NA
fixed,NA,(Intercept),4.616976963611832,0.11159277976331329,41.373438079097724
fixed,NA,cat,0.13178014765109147,0.23213640288683052,0.5676841116355886
ran_pars,subj_id,sd__(Intercept),0.5224316007863414,NA,NA
ran_pars,subj_id,sd__cat,0.07848852536754759,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.9999999158691834,NA,NA
ran_pars,item_id,sd__(Intercept),0.14527406023719738,NA,NA
ran_pars,Residual,sd__Observation,0.9885961058029269,NA,NA
fixed,NA,(Intercept),4.496027077497937,0.10333624903104989,43.50871179915768
fixed,NA,cat,0.8005900282723849,0.27819391389198944,2.8778128790524837
ran_pars,subj_id,sd__(Intercept),0.42312616387086044,NA,NA
ran_pars,subj_id,sd__cat,0.24638394022740945,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.9999993416809403,NA,NA
ran_pars,item_id,sd__(Intercept),0.20361673807387617,NA,NA
ran_pars,Residual,sd__Observation,1.0085917335963837,NA,NA
fixed,NA,(Intercept),4.5623649203815555,0.10662071725029279,42.79060428445042
fixed,NA,cat,0.3737711766905811,0.19525501785413468,1.9142718112873645
ran_pars,subj_id,sd__(Intercept),0.5352332678313855,NA,NA
ran_pars,subj_id,sd__cat,0.5202892938239879,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.13943338604714867,NA,NA
ran_pars,item_id,sd__(Intercept),1.1455447989209499e-4,NA,NA
ran_pars,Residual,sd__Observation,0.9343630541533755,NA,NA
fixed,NA,(Intercept),4.465419432062914,0.11155186202912404,40.02998561240582
fixed,NA,cat,0.5914359026993027,0.30917885019917957,1.9129248404872685
ran_pars,subj_id,sd__(Intercept),0.46864554596528785,NA,NA
ran_pars,subj_id,sd__cat,0.6393532698947827,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.22991463800081152,NA,NA
ran_pars,item_id,sd__(Intercept),0.21736081469453902,NA,NA
ran_pars,Residual,sd__Observation,1.0205893031230686,NA,NA
fixed,NA,(Intercept),4.3685167402922005,0.1191962361446618,36.64978762408552
fixed,NA,cat,0.7607433795225307,0.303446776607518,2.507007614407735
ran_pars,subj_id,sd__(Intercept),0.5396473581254181,NA,NA
ran_pars,subj_id,sd__cat,0.7760091647698344,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.07199649688737306,NA,NA
ran_pars,item_id,sd__(Intercept),0.18057823659677427,NA,NA
ran_pars,Residual,sd__Observation,1.08717670009341,NA,NA
fixed,NA,(Intercept),4.567105536703586,0.09449660817878189,48.33089382491801
fixed,NA,cat,0.3643015613731633,0.2832828997382449,1.2859991256435885
ran_pars,subj_id,sd__(Intercept),0.3608392714338745,NA,NA
ran_pars,subj_id,sd__cat,0.452264763125427,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.07982731124485316,NA,NA
ran_pars,item_id,sd__(Intercept),0.2078065705846492,NA,NA
ran_pars,Residual,sd__Observation,0.952588840588513,NA,NA
fixed,NA,(Intercept),4.579282016117056,0.08312297690687376,55.090447750053784
fixed,NA,cat,-0.24730189132092165,0.21060283708478525,-1.1742571692961665
ran_pars,subj_id,sd__(Intercept),0.3523859249989661,NA,NA
ran_pars,subj_id,sd__cat,0.029900379759109807,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.9999790655784495,NA,NA
ran_pars,item_id,sd__(Intercept),0.08752573056970034,NA,NA
ran_pars,Residual,sd__Observation,1.0487564119385813,NA,NA
fixed,NA,(Intercept),4.529053010333757,0.10209018638180942,44.363255380839924
fixed,NA,cat,0.5129601822858432,0.24351151672481577,2.10651302733054
ran_pars,subj_id,sd__(Intercept),0.4826178561476958,NA,NA
ran_pars,subj_id,sd__cat,0.7091549406606034,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.34318766285688307,NA,NA
ran_pars,item_id,sd__(Intercept),0.10271055399784328,NA,NA
ran_pars,Residual,sd__Observation,0.9795668922482774,NA,NA
fixed,NA,(Intercept),4.467272358864267,0.08073853338141751,55.330115271730186
fixed,NA,cat,0.11935296391069196,0.2434612834522872,0.49023385656340873
ran_pars,subj_id,sd__(Intercept),0.3005156336638012,NA,NA
ran_pars,subj_id,sd__cat,0.30687955713805853,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.20020451690508867,NA,NA
ran_pars,item_id,sd__(Intercept),0.1365539443294669,NA,NA
ran_pars,Residual,sd__Observation,1.060479816997827,NA,NA
fixed,NA,(Intercept),4.3587878250455905,0.12119097058259348,35.96627540890112
fixed,NA,cat,0.4115688087845543,0.3586196056927303,1.1476472625905219
ran_pars,subj_id,sd__(Intercept),0.5033657319834849,NA,NA
ran_pars,subj_id,sd__cat,0.9286511516280483,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.23144384124450598,NA,NA
ran_pars,item_id,sd__(Intercept),0.26186614142510883,NA,NA
ran_pars,Residual,sd__Observation,0.9688299156456449,NA,NA
fixed,NA,(Intercept),4.615010538218295,0.11239658182013529,41.060061289083954
fixed,NA,cat,0.4277208507101417,0.33458475214578465,1.278363248674811
ran_pars,subj_id,sd__(Intercept),0.41125055642849223,NA,NA
ran_pars,subj_id,sd__cat,0.024597628532973405,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-1,NA,NA
ran_pars,item_id,sd__(Intercept),0.27646917955254646,NA,NA
ran_pars,Residual,sd__Observation,1.031865994424903,NA,NA
fixed,NA,(Intercept),4.520472632164724,0.10998181585121992,41.102000336854616
fixed,NA,cat,0.947001710930726,0.2415982293829707,3.9197377950547034
ran_pars,subj_id,sd__(Intercept),0.5141812181814521,NA,NA
ran_pars,subj_id,sd__cat,0.41848347961586885,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.15523753031669427,NA,NA
ran_pars,item_id,sd__(Intercept),0.1414407393444315,NA,NA
ran_pars,Residual,sd__Observation,0.9878249987367247,NA,NA
fixed,NA,(Intercept),4.53450552794182,0.10452435661198764,43.382285956321965
fixed,NA,cat,0.5448360695073137,0.23205437628555403,2.3478810364552953
ran_pars,subj_id,sd__(Intercept),0.4850485493782777,NA,NA
ran_pars,subj_id,sd__cat,0.36832973079820014,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.8490286343470131,NA,NA
ran_pars,item_id,sd__(Intercept),0.13589515736162844,NA,NA
ran_pars,Residual,sd__Observation,0.9621774275975294,NA,NA
fixed,NA,(Intercept),4.382355605561945,0.10644296197577494,41.17092876990132
fixed,NA,cat,0.1660890079362403,0.29253962958238927,0.5677487462923853
ran_pars,subj_id,sd__(Intercept),0.4641671029445182,NA,NA
ran_pars,subj_id,sd__cat,0.7590458771220306,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.23727272310401853,NA,NA
ran_pars,item_id,sd__(Intercept),0.18103393021389752,NA,NA
ran_pars,Residual,sd__Observation,1.0040089073555947,NA,NA
fixed,NA,(Intercept),4.510428766690196,0.11149003338784694,40.455892151359414
fixed,NA,cat,0.4534304722749996,0.26130969578657326,1.7352225332095694
ran_pars,subj_id,sd__(Intercept),0.5065217589858565,NA,NA
ran_pars,subj_id,sd__cat,0.43254845863212255,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.42403647234906744,NA,NA
ran_pars,item_id,sd__(Intercept),0.16841624143646747,NA,NA
ran_pars,Residual,sd__Observation,1.0052182016405806,NA,NA
