"","melody.id","note.id","melody.name","cpitch","information.content","entropy","Viewpoint","Time"
"1",1,1,"""Dallapiccola_quartina_1""",58,5.2854023,5.285403,"cpint","Before"
"2",1,2,"""Dallapiccola_quartina_1""",69,12.216159,3.450136,"cpint","Before"
"3",1,3,"""Dallapiccola_quartina_1""",77,8.453092,3.0065491,"cpint","Before"
"4",1,4,"""Dallapiccola_quartina_1""",74,2.8722491,3.2548726,"cpint","Before"
"5",1,5,"""Dallapiccola_quartina_1""",72,1.5104158,3.0842056,"cpint","Before"
"6",1,6,"""Dallapiccola_quartina_1""",72,2.5067272,3.3532538,"cpint","Before"
"7",1,7,"""Dallapiccola_quartina_1""",66,9.81231,3.3632944,"cpint","Before"
"8",1,8,"""Dallapiccola_quartina_1""",67,1.4307494,2.8816652,"cpint","Before"
"9",1,9,"""Dallapiccola_quartina_1""",75,8.665915,3.475711,"cpint","Before"
"10",1,10,"""Dallapiccola_quartina_1""",75,3.0771422,2.7996593,"cpint","Before"
"11",1,11,"""Dallapiccola_quartina_1""",73,3.0601506,3.2281601,"cpint","Before"
"12",1,12,"""Dallapiccola_quartina_1""",68,5.7418656,3.2307367,"cpint","Before"
"13",1,13,"""Dallapiccola_quartina_1""",59,9.370802,3.4636273,"cpint","Before"
"14",1,14,"""Dallapiccola_quartina_1""",40,13.979113,3.5393786,"cpint","Before"
"15",2,1,"""Schoenberg_P""",70,5.2854023,5.285403,"cpint","Before"
"16",2,2,"""Schoenberg_P""",64,9.3960905,3.4720666,"cpint","Before"
"17",2,3,"""Schoenberg_P""",66,3.953832,3.3433897,"cpint","Before"
"18",2,4,"""Schoenberg_P""",63,4.7296324,2.9224381,"cpint","Before"
"19",2,5,"""Schoenberg_P""",65,4.518953,3.0967395,"cpint","Before"
"20",2,6,"""Schoenberg_P""",69,5.777698,3.6345744,"cpint","Before"
"21",2,7,"""Schoenberg_P""",62,7.392055,2.8707411,"cpint","Before"
"22",2,8,"""Schoenberg_P""",61,5.3195653,3.23256,"cpint","Before"
"23",2,9,"""Schoenberg_P""",67,9.725452,3.0549667,"cpint","Before"
"24",2,10,"""Schoenberg_P""",68,4.3827415,1.98105,"cpint","Before"
"25",2,11,"""Schoenberg_P""",59,9.315198,3.413996,"cpint","Before"
"26",2,12,"""Schoenberg_P""",59,1.6603982,3.3122592,"cpint","Before"
"27",2,13,"""Schoenberg_P""",60,4.991637,2.86367,"cpint","Before"
"28",3,1,"""Schoenberg_R""",60,5.2854023,5.285403,"cpint","Before"
"29",3,2,"""Schoenberg_R""",59,3.5092034,3.4779308,"cpint","Before"
"30",3,3,"""Schoenberg_R""",68,8.37566,3.0209467,"cpint","Before"
"31",3,4,"""Schoenberg_R""",67,6.114258,2.6173327,"cpint","Before"
"32",3,5,"""Schoenberg_R""",67,2.9460707,3.7919507,"cpint","Before"
"33",3,6,"""Schoenberg_R""",61,9.041066,3.1215003,"cpint","Before"
"34",3,7,"""Schoenberg_R""",62,1.9814826,2.692665,"cpint","Before"
"35",3,8,"""Schoenberg_R""",57,4.7626834,3.5812247,"cpint","Before"
"36",3,9,"""Schoenberg_R""",65,7.8590755,3.4740412,"cpint","Before"
"37",3,10,"""Schoenberg_R""",63,4.615722,2.2265456,"cpint","Before"
"38",3,11,"""Schoenberg_R""",66,5.316481,3.1168098,"cpint","Before"
"39",3,12,"""Schoenberg_R""",64,4.9570403,2.6525404,"cpint","Before"
"40",3,13,"""Schoenberg_R""",70,10.488005,3.4878216,"cpint","Before"
"41",4,1,"""Webern_froh_2""",79,5.2854023,5.285403,"cpint","Before"
"42",4,2,"""Webern_froh_2""",79,2.1924567,3.1782348,"cpint","Before"
"43",4,3,"""Webern_froh_2""",70,8.436424,3.109688,"cpint","Before"
"44",4,4,"""Webern_froh_2""",59,13.439975,3.1754925,"cpint","Before"
"45",4,5,"""Webern_froh_2""",68,2.6378462,3.417859,"cpint","Before"
"46",4,6,"""Webern_froh_2""",68,2.5357733,2.9926658,"cpint","Before"
"47",4,7,"""Webern_froh_2""",73,5.3237767,3.0697958,"cpint","Before"
"48",4,8,"""Webern_froh_2""",81,8.808073,3.403086,"cpint","Before"
"49",4,9,"""Webern_froh_2""",72,9.702295,2.910301,"cpint","Before"
"50",4,10,"""Webern_froh_2""",63,8.145938,3.5833127,"cpint","Before"
"51",4,11,"""Webern_froh_2""",76,11.166142,3.714774,"cpint","Before"
"52",4,12,"""Webern_froh_2""",62,13.9435425,2.6853695,"cpint","Before"
"53",5,1,"""Webern_qrt_V1_1""",61,5.2854023,5.285403,"cpint","Before"
"54",5,2,"""Webern_qrt_V1_1""",74,12.444739,3.4814324,"cpint","Before"
"55",5,3,"""Webern_qrt_V1_1""",83,7.890884,3.1662455,"cpint","Before"
"56",5,4,"""Webern_qrt_V1_1""",72,8.855626,2.2443883,"cpint","Before"
"57",5,5,"""Webern_qrt_V1_1""",80,9.718797,2.3784437,"cpint","Before"
"58",5,6,"""Webern_qrt_V1_1""",67,14.457716,2.8832033,"cpint","Before"
"59",5,7,"""Webern_qrt_V1_1""",82,2.816279,3.3596811,"cpint","Before"
"60",5,8,"""Webern_qrt_V1_1""",69,0.84062135,2.0954335,"cpint","Before"
"61",5,9,"""Webern_qrt_V1_1""",77,8.407729,2.9967687,"cpint","Before"
"62",5,10,"""Webern_qrt_V1_1""",66,10.569285,3.495029,"cpint","Before"
"63",5,11,"""Webern_qrt_V1_1""",75,2.3384202,3.5427115,"cpint","Before"
"64",5,12,"""Webern_qrt_V1_1""",88,12.530001,2.8940413,"cpint","Before"
"65",6,1,"""Webern_qrt_V2_2""",56,5.2854023,5.285403,"cpint","Before"
"66",6,2,"""Webern_qrt_V2_2""",72,11.828001,3.4374623,"cpint","Before"
"67",6,3,"""Webern_qrt_V2_2""",59,14.692885,2.1058621,"cpint","Before"
"68",6,4,"""Webern_qrt_V2_2""",61,3.6876657,3.5791588,"cpint","Before"
"69",6,5,"""Webern_qrt_V2_2""",77,11.611357,3.3776639,"cpint","Before"
"70",6,6,"""Webern_qrt_V2_2""",66,13.545435,2.6521418,"cpint","Before"
"71",6,7,"""Webern_qrt_V2_2""",75,2.482978,3.5300872,"cpint","Before"
"72",6,8,"""Webern_qrt_V2_2""",64,9.316761,2.7587273,"cpint","Before"
"73",6,9,"""Webern_qrt_V2_2""",68,4.1201696,2.7166045,"cpint","Before"
"74",6,10,"""Webern_qrt_V2_2""",55,15.328119,2.3400984,"cpint","Before"
"75",6,11,"""Webern_qrt_V2_2""",70,3.7590008,3.4575586,"cpint","Before"
"76",6,12,"""Webern_qrt_V2_2""",57,0.8357493,2.3348427,"cpint","Before"
"77",1,1,"""Dallapiccola_quartina_1""",58,5.2854023,5.285403,"cpint-cpintfref","Before"
"78",1,2,"""Dallapiccola_quartina_1""",69,10.23499,2.8404007,"cpint-cpintfref","Before"
"79",1,3,"""Dallapiccola_quartina_1""",77,12.523824,2.7479298,"cpint-cpintfref","Before"
"80",1,4,"""Dallapiccola_quartina_1""",74,2.9998064,3.0434692,"cpint-cpintfref","Before"
"81",1,5,"""Dallapiccola_quartina_1""",72,2.7499251,3.4842439,"cpint-cpintfref","Before"
"82",1,6,"""Dallapiccola_quartina_1""",72,2.7895813,2.6074111,"cpint-cpintfref","Before"
"83",1,7,"""Dallapiccola_quartina_1""",66,7.752497,2.7375908,"cpint-cpintfref","Before"
"84",1,8,"""Dallapiccola_quartina_1""",67,1.236358,2.0467498,"cpint-cpintfref","Before"
"85",1,9,"""Dallapiccola_quartina_1""",75,11.303764,2.3147035,"cpint-cpintfref","Before"
"86",1,10,"""Dallapiccola_quartina_1""",75,3.091895,2.007177,"cpint-cpintfref","Before"
"87",1,11,"""Dallapiccola_quartina_1""",73,9.333758,2.386544,"cpint-cpintfref","Before"
"88",1,12,"""Dallapiccola_quartina_1""",68,10.486676,1.6986793,"cpint-cpintfref","Before"
"89",1,13,"""Dallapiccola_quartina_1""",59,8.478633,2.800191,"cpint-cpintfref","Before"
"90",1,14,"""Dallapiccola_quartina_1""",40,12.789911,2.6917741,"cpint-cpintfref","Before"
"91",2,1,"""Schoenberg_P""",70,5.2854023,5.285403,"cpint-cpintfref","Before"
"92",2,2,"""Schoenberg_P""",64,9.743964,3.1084993,"cpint-cpintfref","Before"
"93",2,3,"""Schoenberg_P""",66,6.20636,2.7039192,"cpint-cpintfref","Before"
"94",2,4,"""Schoenberg_P""",63,11.234891,1.632393,"cpint-cpintfref","Before"
"95",2,5,"""Schoenberg_P""",65,2.1572428,2.904521,"cpint-cpintfref","Before"
"96",2,6,"""Schoenberg_P""",69,8.677632,2.3044176,"cpint-cpintfref","Before"
"97",2,7,"""Schoenberg_P""",62,5.2352257,2.4747086,"cpint-cpintfref","Before"
"98",2,8,"""Schoenberg_P""",61,10.53538,2.3604238,"cpint-cpintfref","Before"
"99",2,9,"""Schoenberg_P""",67,10.718621,1.2777857,"cpint-cpintfref","Before"
"100",2,10,"""Schoenberg_P""",68,5.707006,3.263569,"cpint-cpintfref","Before"
"101",2,11,"""Schoenberg_P""",59,10.406133,2.6964588,"cpint-cpintfref","Before"
"102",2,12,"""Schoenberg_P""",59,3.3631458,2.352335,"cpint-cpintfref","Before"
"103",2,13,"""Schoenberg_P""",60,1.2858155,2.4411328,"cpint-cpintfref","Before"
"104",3,1,"""Schoenberg_R""",60,5.2854023,5.285403,"cpint-cpintfref","Before"
"105",3,2,"""Schoenberg_R""",59,2.5922601,3.2307873,"cpint-cpintfref","Before"
"106",3,3,"""Schoenberg_R""",68,11.502644,2.2638328,"cpint-cpintfref","Before"
"107",3,4,"""Schoenberg_R""",67,2.138608,2.2190368,"cpint-cpintfref","Before"
"108",3,5,"""Schoenberg_R""",67,2.723193,2.6501606,"cpint-cpintfref","Before"
"109",3,6,"""Schoenberg_R""",61,11.89043,3.2306883,"cpint-cpintfref","Before"
"110",3,7,"""Schoenberg_R""",62,2.0550435,2.4173183,"cpint-cpintfref","Before"
"111",3,8,"""Schoenberg_R""",57,6.800342,2.9061809,"cpint-cpintfref","Before"
"112",3,9,"""Schoenberg_R""",65,6.9735546,2.3874342,"cpint-cpintfref","Before"
"113",3,10,"""Schoenberg_R""",63,5.162409,2.392859,"cpint-cpintfref","Before"
"114",3,11,"""Schoenberg_R""",66,9.912343,2.5571303,"cpint-cpintfref","Before"
"115",3,12,"""Schoenberg_R""",64,3.76668,1.7304136,"cpint-cpintfref","Before"
"116",3,13,"""Schoenberg_R""",70,12.615091,2.5632823,"cpint-cpintfref","Before"
"117",4,1,"""Webern_froh_2""",79,5.2854023,5.285403,"cpint-cpintfref","Before"
"118",4,2,"""Webern_froh_2""",79,1.5981439,2.8743951,"cpint-cpintfref","Before"
"119",4,3,"""Webern_froh_2""",70,10.790963,2.8229685,"cpint-cpintfref","Before"
"120",4,4,"""Webern_froh_2""",59,10.698236,2.6632552,"cpint-cpintfref","Before"
"121",4,5,"""Webern_froh_2""",68,10.565094,2.3497548,"cpint-cpintfref","Before"
"122",4,6,"""Webern_froh_2""",68,3.472564,2.132194,"cpint-cpintfref","Before"
"123",4,7,"""Webern_froh_2""",73,7.002978,2.8462162,"cpint-cpintfref","Before"
"124",4,8,"""Webern_froh_2""",81,7.057795,1.6821734,"cpint-cpintfref","Before"
"125",4,9,"""Webern_froh_2""",72,9.268639,1.3781079,"cpint-cpintfref","Before"
"126",4,10,"""Webern_froh_2""",63,12.161823,2.5334914,"cpint-cpintfref","Before"
"127",4,11,"""Webern_froh_2""",76,10.779835,1.4438691,"cpint-cpintfref","Before"
"128",4,12,"""Webern_froh_2""",62,12.927636,2.6199114,"cpint-cpintfref","Before"
"129",5,1,"""Webern_qrt_V1_1""",61,5.2854023,5.285403,"cpint-cpintfref","Before"
"130",5,2,"""Webern_qrt_V1_1""",74,8.31064,2.9143019,"cpint-cpintfref","Before"
"131",5,3,"""Webern_qrt_V1_1""",83,8.093585,2.7132838,"cpint-cpintfref","Before"
"132",5,4,"""Webern_qrt_V1_1""",72,9.797913,1.7675073,"cpint-cpintfref","Before"
"133",5,5,"""Webern_qrt_V1_1""",80,10.99985,2.7316115,"cpint-cpintfref","Before"
"134",5,6,"""Webern_qrt_V1_1""",67,9.474208,2.0006087,"cpint-cpintfref","Before"
"135",5,7,"""Webern_qrt_V1_1""",82,1.013893,2.625612,"cpint-cpintfref","Before"
"136",5,8,"""Webern_qrt_V1_1""",69,1.0094895,2.3118725,"cpint-cpintfref","Before"
"137",5,9,"""Webern_qrt_V1_1""",77,6.117883,2.59584,"cpint-cpintfref","Before"
"138",5,10,"""Webern_qrt_V1_1""",66,11.862281,2.4431398,"cpint-cpintfref","Before"
"139",5,11,"""Webern_qrt_V1_1""",75,1.0075734,2.067224,"cpint-cpintfref","Before"
"140",5,12,"""Webern_qrt_V1_1""",88,10.045503,2.4072292,"cpint-cpintfref","Before"
"141",6,1,"""Webern_qrt_V2_2""",56,5.2854023,5.285403,"cpint-cpintfref","Before"
"142",6,2,"""Webern_qrt_V2_2""",72,9.578224,2.802079,"cpint-cpintfref","Before"
"143",6,3,"""Webern_qrt_V2_2""",59,11.411343,3.175993,"cpint-cpintfref","Before"
"144",6,4,"""Webern_qrt_V2_2""",61,9.271603,1.815872,"cpint-cpintfref","Before"
"145",6,5,"""Webern_qrt_V2_2""",77,10.547742,0.9370619,"cpint-cpintfref","Before"
"146",6,6,"""Webern_qrt_V2_2""",66,11.354645,2.5416965,"cpint-cpintfref","Before"
"147",6,7,"""Webern_qrt_V2_2""",75,1.0075734,2.067224,"cpint-cpintfref","Before"
"148",6,8,"""Webern_qrt_V2_2""",64,11.421066,2.3925562,"cpint-cpintfref","Before"
"149",6,9,"""Webern_qrt_V2_2""",68,10.533615,2.7033684,"cpint-cpintfref","Before"
"150",6,10,"""Webern_qrt_V2_2""",55,8.882664,2.7208445,"cpint-cpintfref","Before"
"151",6,11,"""Webern_qrt_V2_2""",70,1.0120082,2.5972311,"cpint-cpintfref","Before"
"152",6,12,"""Webern_qrt_V2_2""",57,1.0209922,2.5635324,"cpint-cpintfref","Before"
"153",1,1,"""Dallapiccola_quartina_1""",58,6.5391135,4.899951,"cpintfref","Before"
"154",1,2,"""Dallapiccola_quartina_1""",69,3.6791632,4.562399,"cpintfref","Before"
"155",1,3,"""Dallapiccola_quartina_1""",77,8.407208,4.5247245,"cpintfref","Before"
"156",1,4,"""Dallapiccola_quartina_1""",74,4.969884,4.9922757,"cpintfref","Before"
"157",1,5,"""Dallapiccola_quartina_1""",72,4.826721,4.975094,"cpintfref","Before"
"158",1,6,"""Dallapiccola_quartina_1""",72,4.3632836,4.568731,"cpintfref","Before"
"159",1,7,"""Dallapiccola_quartina_1""",66,7.055091,4.6697235,"cpintfref","Before"
"160",1,8,"""Dallapiccola_quartina_1""",67,2.7411056,4.057564,"cpintfref","Before"
"161",1,9,"""Dallapiccola_quartina_1""",75,9.731041,3.3791537,"cpintfref","Before"
"162",1,10,"""Dallapiccola_quartina_1""",75,4.029679,4.4112935,"cpintfref","Before"
"163",1,11,"""Dallapiccola_quartina_1""",73,7.3218465,4.590555,"cpintfref","Before"
"164",1,12,"""Dallapiccola_quartina_1""",68,12.32934,3.7263503,"cpintfref","Before"
"165",1,13,"""Dallapiccola_quartina_1""",59,5.315268,4.7452683,"cpintfref","Before"
"166",1,14,"""Dallapiccola_quartina_1""",40,5.2734475,4.6033206,"cpintfref","Before"
"167",2,1,"""Schoenberg_P""",70,6.8287873,4.918472,"cpintfref","Before"
"168",2,2,"""Schoenberg_P""",64,7.667252,4.5832343,"cpintfref","Before"
"169",2,3,"""Schoenberg_P""",66,6.942852,4.511209,"cpintfref","Before"
"170",2,4,"""Schoenberg_P""",63,9.118792,3.71082,"cpintfref","Before"
"171",2,5,"""Schoenberg_P""",65,5.159597,4.0234876,"cpintfref","Before"
"172",2,6,"""Schoenberg_P""",69,9.402414,4.0694075,"cpintfref","Before"
"173",2,7,"""Schoenberg_P""",62,5.353206,4.3197217,"cpintfref","Before"
"174",2,8,"""Schoenberg_P""",61,8.046073,4.6722126,"cpintfref","Before"
"175",2,9,"""Schoenberg_P""",67,8.763872,3.5494652,"cpintfref","Before"
"176",2,10,"""Schoenberg_P""",68,6.6918902,4.739315,"cpintfref","Before"
"177",2,11,"""Schoenberg_P""",59,7.506454,4.589011,"cpintfref","Before"
"178",2,12,"""Schoenberg_P""",59,6.556077,3.1565423,"cpintfref","Before"
"179",2,13,"""Schoenberg_P""",60,3.0572317,4.18077,"cpintfref","Before"
"180",3,1,"""Schoenberg_R""",60,4.188519,4.9185038,"cpintfref","Before"
"181",3,2,"""Schoenberg_R""",59,5.095378,4.652156,"cpintfref","Before"
"182",3,3,"""Schoenberg_R""",68,7.961838,4.2005725,"cpintfref","Before"
"183",3,4,"""Schoenberg_R""",67,5.2674713,3.4799738,"cpintfref","Before"
"184",3,5,"""Schoenberg_R""",67,4.057972,4.3947787,"cpintfref","Before"
"185",3,6,"""Schoenberg_R""",61,9.164818,4.594613,"cpintfref","Before"
"186",3,7,"""Schoenberg_R""",62,3.620499,4.678237,"cpintfref","Before"
"187",3,8,"""Schoenberg_R""",57,6.672577,4.4981112,"cpintfref","Before"
"188",3,9,"""Schoenberg_R""",65,5.6432157,4.1716423,"cpintfref","Before"
"189",3,10,"""Schoenberg_R""",63,7.128388,4.448993,"cpintfref","Before"
"190",3,11,"""Schoenberg_R""",66,9.705506,4.314918,"cpintfref","Before"
"191",3,12,"""Schoenberg_R""",64,5.6301622,4.13985,"cpintfref","Before"
"192",3,13,"""Schoenberg_R""",70,10.485003,4.416215,"cpintfref","Before"
"193",4,1,"""Webern_froh_2""",79,4.142617,4.918518,"cpintfref","Before"
"194",4,2,"""Webern_froh_2""",79,3.0402474,4.5999417,"cpintfref","Before"
"195",4,3,"""Webern_froh_2""",70,7.3599706,4.5862765,"cpintfref","Before"
"196",4,4,"""Webern_froh_2""",59,6.4133863,4.9088573,"cpintfref","Before"
"197",4,5,"""Webern_froh_2""",68,9.771079,3.5652196,"cpintfref","Before"
"198",4,6,"""Webern_froh_2""",68,4.223511,4.5260077,"cpintfref","Before"
"199",4,7,"""Webern_froh_2""",73,6.8844786,4.6789556,"cpintfref","Before"
"200",4,8,"""Webern_froh_2""",81,6.1737742,3.9442089,"cpintfref","Before"
"201",4,9,"""Webern_froh_2""",72,6.537804,4.255449,"cpintfref","Before"
"202",4,10,"""Webern_froh_2""",63,8.370532,4.6300955,"cpintfref","Before"
"203",4,11,"""Webern_froh_2""",76,7.2544475,4.474546,"cpintfref","Before"
"204",4,12,"""Webern_froh_2""",62,3.6043487,4.5320797,"cpintfref","Before"
"205",5,1,"""Webern_qrt_V1_1""",61,8.527157,4.9184923,"cpintfref","Before"
"206",5,2,"""Webern_qrt_V1_1""",74,3.8100479,4.945335,"cpintfref","Before"
"207",5,3,"""Webern_qrt_V1_1""",83,6.082966,4.783364,"cpintfref","Before"
"208",5,4,"""Webern_qrt_V1_1""",72,3.6798818,3.5797217,"cpintfref","Before"
"209",5,5,"""Webern_qrt_V1_1""",80,7.51717,4.724005,"cpintfref","Before"
"210",5,6,"""Webern_qrt_V1_1""",67,3.4938564,4.485118,"cpintfref","Before"
"211",5,7,"""Webern_qrt_V1_1""",82,7.4683776,4.248179,"cpintfref","Before"
"212",5,8,"""Webern_qrt_V1_1""",69,5.170841,4.976809,"cpintfref","Before"
"213",5,9,"""Webern_qrt_V1_1""",77,5.3505063,4.309724,"cpintfref","Before"
"214",5,10,"""Webern_qrt_V1_1""",66,8.7859955,4.6174603,"cpintfref","Before"
"215",5,11,"""Webern_qrt_V1_1""",75,6.801736,4.2486773,"cpintfref","Before"
"216",5,12,"""Webern_qrt_V1_1""",88,3.4529967,4.2472024,"cpintfref","Before"
"217",6,1,"""Webern_qrt_V2_2""",56,6.9972014,4.9184103,"cpintfref","Before"
"218",6,2,"""Webern_qrt_V2_2""",72,5.4854608,4.8217115,"cpintfref","Before"
"219",6,3,"""Webern_qrt_V2_2""",59,5.5058737,4.7774696,"cpintfref","Before"
"220",6,4,"""Webern_qrt_V2_2""",61,9.622918,3.9765396,"cpintfref","Before"
"221",6,5,"""Webern_qrt_V2_2""",77,8.557133,2.6833816,"cpintfref","Before"
"222",6,6,"""Webern_qrt_V2_2""",66,8.267884,4.7014184,"cpintfref","Before"
"223",6,7,"""Webern_qrt_V2_2""",75,6.500563,4.2938204,"cpintfref","Before"
"224",6,8,"""Webern_qrt_V2_2""",64,3.4909225,4.267498,"cpintfref","Before"
"225",6,9,"""Webern_qrt_V2_2""",68,9.310272,4.520134,"cpintfref","Before"
"226",6,10,"""Webern_qrt_V2_2""",55,3.6742558,4.7773232,"cpintfref","Before"
"227",6,11,"""Webern_qrt_V2_2""",70,7.027677,3.8100553,"cpintfref","Before"
"228",6,12,"""Webern_qrt_V2_2""",57,5.0648875,5.0068974,"cpintfref","Before"
"229",1,1,"""Dallapiccola_quartina_1""",58,6.1304116,4.4967794,"cpitch","Before"
"230",1,2,"""Dallapiccola_quartina_1""",69,6.356877,3.4075449,"cpitch","Before"
"231",1,3,"""Dallapiccola_quartina_1""",77,8.966204,2.4445524,"cpitch","Before"
"232",1,4,"""Dallapiccola_quartina_1""",74,2.6024761,3.1159196,"cpitch","Before"
"233",1,5,"""Dallapiccola_quartina_1""",72,0.5343315,1.8959967,"cpitch","Before"
"234",1,6,"""Dallapiccola_quartina_1""",72,2.485157,3.0087516,"cpitch","Before"
"235",1,7,"""Dallapiccola_quartina_1""",66,7.943369,3.187793,"cpitch","Before"
"236",1,8,"""Dallapiccola_quartina_1""",67,1.2605394,2.5034363,"cpitch","Before"
"237",1,9,"""Dallapiccola_quartina_1""",75,7.4841986,3.4730623,"cpitch","Before"
"238",1,10,"""Dallapiccola_quartina_1""",75,3.1449742,2.7314837,"cpitch","Before"
"239",1,11,"""Dallapiccola_quartina_1""",73,5.0280547,2.3619146,"cpitch","Before"
"240",1,12,"""Dallapiccola_quartina_1""",68,7.3045835,3.002801,"cpitch","Before"
"241",1,13,"""Dallapiccola_quartina_1""",59,8.881934,2.4439366,"cpitch","Before"
"242",1,14,"""Dallapiccola_quartina_1""",40,16.368065,2.5988567,"cpitch","Before"
"243",2,1,"""Schoenberg_P""",70,4.288243,4.553347,"cpitch","Before"
"244",2,2,"""Schoenberg_P""",64,6.4863043,3.4328907,"cpitch","Before"
"245",2,3,"""Schoenberg_P""",66,5.649137,1.8847004,"cpitch","Before"
"246",2,4,"""Schoenberg_P""",63,5.3145127,3.2910702,"cpitch","Before"
"247",2,5,"""Schoenberg_P""",65,5.7212324,1.955909,"cpitch","Before"
"248",2,6,"""Schoenberg_P""",69,5.0655775,2.9536245,"cpitch","Before"
"249",2,7,"""Schoenberg_P""",62,6.8810153,2.2087626,"cpitch","Before"
"250",2,8,"""Schoenberg_P""",61,7.168606,2.8120012,"cpitch","Before"
"251",2,9,"""Schoenberg_P""",67,7.45532,2.7560525,"cpitch","Before"
"252",2,10,"""Schoenberg_P""",68,5.2778563,3.576348,"cpitch","Before"
"253",2,11,"""Schoenberg_P""",59,9.816672,2.8605278,"cpitch","Before"
"254",2,12,"""Schoenberg_P""",59,2.2120125,3.2055762,"cpitch","Before"
"255",2,13,"""Schoenberg_P""",60,2.2370722,2.8399992,"cpitch","Before"
"256",3,1,"""Schoenberg_R""",60,4.421376,4.553346,"cpitch","Before"
"257",3,2,"""Schoenberg_R""",59,3.1436763,3.4171705,"cpitch","Before"
"258",3,3,"""Schoenberg_R""",68,7.962346,2.7592134,"cpitch","Before"
"259",3,4,"""Schoenberg_R""",67,3.5121763,3.4742177,"cpitch","Before"
"260",3,5,"""Schoenberg_R""",67,2.7148468,2.7088604,"cpitch","Before"
"261",3,6,"""Schoenberg_R""",61,9.676351,3.2630563,"cpitch","Before"
"262",3,7,"""Schoenberg_R""",62,0.94431424,2.8277142,"cpitch","Before"
"263",3,8,"""Schoenberg_R""",57,3.6038847,3.3694768,"cpitch","Before"
"264",3,9,"""Schoenberg_R""",65,7.290609,3.2949173,"cpitch","Before"
"265",3,10,"""Schoenberg_R""",63,5.466113,2.7606645,"cpitch","Before"
"266",3,11,"""Schoenberg_R""",66,7.6887126,3.249166,"cpitch","Before"
"267",3,12,"""Schoenberg_R""",64,1.5360733,2.9639368,"cpitch","Before"
"268",3,13,"""Schoenberg_R""",70,10.873643,3.2438478,"cpitch","Before"
"269",4,1,"""Webern_froh_2""",79,7.132111,4.5530214,"cpitch","Before"
"270",4,2,"""Webern_froh_2""",79,2.458288,3.819798,"cpitch","Before"
"271",4,3,"""Webern_froh_2""",70,6.1895914,3.5184286,"cpitch","Before"
"272",4,4,"""Webern_froh_2""",59,9.710054,3.0238547,"cpitch","Before"
"273",4,5,"""Webern_froh_2""",68,6.8950095,3.184891,"cpitch","Before"
"274",4,6,"""Webern_froh_2""",68,3.7499824,3.4831707,"cpitch","Before"
"275",4,7,"""Webern_froh_2""",73,5.3209887,3.8339975,"cpitch","Before"
"276",4,8,"""Webern_froh_2""",81,15.450106,2.8259368,"cpitch","Before"
"277",4,9,"""Webern_froh_2""",72,4.9682894,4.0282893,"cpitch","Before"
"278",4,10,"""Webern_froh_2""",63,8.381908,3.249421,"cpitch","Before"
"279",4,11,"""Webern_froh_2""",76,9.368442,2.8467631,"cpitch","Before"
"280",4,12,"""Webern_froh_2""",62,8.253693,3.0102015,"cpitch","Before"
"281",5,1,"""Webern_qrt_V1_1""",61,6.710479,4.4961643,"cpitch","Before"
"282",5,2,"""Webern_qrt_V1_1""",74,5.933967,3.7051222,"cpitch","Before"
"283",5,3,"""Webern_qrt_V1_1""",83,14.817075,3.2125142,"cpitch","Before"
"284",5,4,"""Webern_qrt_V1_1""",72,4.9783916,2.371748,"cpitch","Before"
